Subject: conceptual_physics
politeness level: 0
questions from 0: 
[0, 0, 3]
questions from 3: 
[3, 1, 1]
questions from 6: 
[1, 1, 3]
questions from 9: 
[1, 1, 2]
questions from 12: 
[3, 0, 2]
questions from 15: 
[3, 2, 3]
questions from 18: 
[0, 0, 1]
questions from 21: 
[2, 2, 0]
questions from 24: 
[0, 0, 0]
questions from 27: 
[0, 3, 1]
questions from 30: 
[0, 0, 2]
questions from 33: 
[0, 2, 0]
questions from 36: 
[0, 0, 1]
questions from 39: 
[1, 3, 1]
questions from 42: 
[0, 0, 3]
questions from 45: 
[3, 3, 2]
questions from 48: 
[1, 0, 1]
questions from 51: 
[2, 1, 0]
questions from 54: 
[3, 1, 2]
questions from 57: 
[3, 2, 1]
questions from 60: 
[1, 0, 1]
questions from 63: 
[0, 3, 0]
questions from 66: 
[2, 0, 0]
questions from 69: 
[0, 0, 1]
questions from 72: 
[3, 3, 0]
questions from 75: 
[1, 2, 1]
questions from 78: 
[3, 3, 1]
questions from 81: 
[3, 0, 1]
questions from 84: 
[3, 3, 2]
questions from 87: 
[0, 2, 0]
questions from 90: 
[0, 3, 3]
questions from 93: 
[0, 3, 2]
questions from 96: 
[2, 1, 3]
politeness level: 1
questions from 0: 
[0, 0, 3]
questions from 3: 
[3, 1, 1]
questions from 6: 
[1, 1, 3]
questions from 9: 
[1, 1, 2]
questions from 12: 
[3, 0, 2]
questions from 15: 
[3, 2, 3]
questions from 18: 
[0, 0, 1]
questions from 21: 
[2, 2, 0]
questions from 24: 
[0, 0, 0]
questions from 27: 
[0, 3, 1]
questions from 30: 
[0, 0, 2]
questions from 33: 
[0, 2, 0]
questions from 36: 
[0, 0, 1]
questions from 39: 
[1, 3, 1]
questions from 42: 
[0, 0, 3]
questions from 45: 
[3, 3, 2]
questions from 48: 
[1, 0, 1]
questions from 51: 
[2, 1, 0]
questions from 54: 
[3, 1, 2]
questions from 57: 
[3, 2, 1]
questions from 60: 
[1, 0, 1]
questions from 63: 
[0, 3, 0]
questions from 66: 
[2, 0, 0]
questions from 69: 
[0, 0, 1]
questions from 72: 
[3, 3, 0]
questions from 75: 
[1, 2, 1]
questions from 78: 
[3, 3, 1]
questions from 81: 
[3, 0, 1]
questions from 84: 
[3, 3, 2]
questions from 87: 
[0, 2, 0]
questions from 90: 
[0, 3, 3]
questions from 93: 
[0, 3, 2]
questions from 96: 
[2, 1, 3]
politeness level: 2
questions from 0: 
[0, 0, 3]
questions from 3: 
[3, 1, 1]
questions from 6: 
[1, 1, 3]
questions from 9: 
[1, 1, 2]
questions from 12: 
[3, 0, 2]
questions from 15: 
[3, 2, 3]
questions from 18: 
[0, 0, 1]
questions from 21: 
[2, 2, 0]
questions from 24: 
[0, 0, 0]
questions from 27: 
[0, 3, 1]
questions from 30: 
[0, 0, 2]
questions from 33: 
[0, 2, 0]
questions from 36: 
[0, 0, 1]
questions from 39: 
[1, 3, 1]
questions from 42: 
[0, 0, 3]
questions from 45: 
[3, 3, 2]
questions from 48: 
[1, 0, 1]
questions from 51: 
[2, 1, 0]
questions from 54: 
[3, 1, 2]
questions from 57: 
[3, 2, 1]
questions from 60: 
[1, 0, 1]
questions from 63: 
[0, 3, 0]
questions from 66: 
[2, 0, 0]
questions from 69: 
[0, 0, 1]
questions from 72: 
[3, 3, 0]
questions from 75: 
[1, 2, 1]
questions from 78: 
[3, 3, 1]
questions from 81: 
[3, 0, 1]
questions from 84: 
[3, 3, 2]
questions from 87: 
[0, 2, 0]
questions from 90: 
[0, 3, 3]
questions from 93: 
[0, 3, 2]
questions from 96: 
[2, 1, 3]
politeness level: 3
questions from 0: 
[0, 0, 3]
questions from 3: 
[3, 1, 1]
questions from 6: 
[1, 1, 3]
questions from 9: 
[1, 1, 2]
questions from 12: 
[3, 0, 2]
questions from 15: 
[3, 2, 3]
questions from 18: 
[0, 0, 1]
questions from 21: 
[2, 2, 0]
questions from 24: 
[0, 0, 0]
questions from 27: 
[0, 3, 1]
questions from 30: 
[0, 0, 2]
questions from 33: 
[0, 2, 0]
questions from 36: 
[0, 0, 1]
questions from 39: 
[1, 3, 1]
questions from 42: 
[0, 0, 3]
questions from 45: 
[3, 3, 2]
questions from 48: 
[1, 0, 1]
questions from 51: 
[2, 1, 0]
questions from 54: 
[3, 1, 2]
questions from 57: 
[3, 2, 1]
questions from 60: 
[1, 0, 1]
questions from 63: 
[0, 3, 0]
questions from 66: 
[2, 0, 0]
questions from 69: 
[0, 0, 1]
questions from 72: 
[3, 3, 0]
questions from 75: 
[1, 2, 1]
questions from 78: 
[3, 3, 1]
questions from 81: 
[3, 0, 1]
questions from 84: 
[3, 3, 2]
questions from 87: 
[0, 2, 0]
questions from 90: 
[0, 3, 3]
questions from 93: 
[0, 3, 2]
questions from 96: 
[2, 1, 3]
politeness level: 4
questions from 0: 
[0, 0, 3]
questions from 3: 
[3, 1, 1]
questions from 6: 
[1, 1, 3]
questions from 9: 
[1, 1, 2]
questions from 12: 
[3, 0, 2]
questions from 15: 
[3, 2, 3]
questions from 18: 
[0, 0, 1]
questions from 21: 
[2, 2, 0]
questions from 24: 
[0, 0, 0]
questions from 27: 
[0, 3, 1]
questions from 30: 
[0, 0, 2]
questions from 33: 
[0, 2, 0]
questions from 36: 
[0, 0, 1]
questions from 39: 
[1, 3, 1]
questions from 42: 
[0, 0, 3]
questions from 45: 
[3, 3, 2]
questions from 48: 
[1, 0, 1]
questions from 51: 
[2, 1, 0]
questions from 54: 
[3, 1, 2]
questions from 57: 
[3, 2, 1]
questions from 60: 
[1, 0, 1]
questions from 63: 
[0, 3, 0]
questions from 66: 
[2, 0, 0]
questions from 69: 
[0, 0, 1]
questions from 72: 
[3, 3, 0]
questions from 75: 
[1, 2, 1]
questions from 78: 
[3, 3, 1]
questions from 81: 
[3, 0, 1]
questions from 84: 
[3, 3, 2]
questions from 87: 
[0, 2, 0]
questions from 90: 
[0, 3, 3]
questions from 93: 
[0, 3, 2]
questions from 96: 
[2, 1, 3]
politeness level: 5
questions from 0: 
[0, 0, 3]
questions from 3: 
[3, 1, 1]
questions from 6: 
[1, 1, 3]
questions from 9: 
[1, 1, 2]
questions from 12: 
[3, 0, 2]
questions from 15: 
[3, 2, 3]
questions from 18: 
[0, 0, 1]
questions from 21: 
[2, 2, 0]
questions from 24: 
[0, 0, 0]
questions from 27: 
[0, 3, 1]
questions from 30: 
[0, 0, 2]
questions from 33: 
[0, 2, 0]
questions from 36: 
[0, 0, 1]
questions from 39: 
[1, 3, 1]
questions from 42: 
[0, 0, 3]
questions from 45: 
[3, 3, 2]
questions from 48: 
[1, 0, 1]
questions from 51: 
[2, 1, 0]
questions from 54: 
[3, 1, 2]
questions from 57: 
[3, 2, 1]
questions from 60: 
[1, 0, 1]
questions from 63: 
[0, 3, 0]
questions from 66: 
[2, 0, 0]
questions from 69: 
[0, 0, 1]
questions from 72: 
[3, 3, 0]
questions from 75: 
[1, 2, 1]
questions from 78: 
[3, 3, 1]
questions from 81: 
[3, 0, 1]
questions from 84: 
[3, 3, 2]
questions from 87: 
[0, 2, 0]
questions from 90: 
[0, 3, 3]
questions from 93: 
[0, 3, 2]
questions from 96: 
[2, 1, 3]
politeness level: 6
questions from 0: 
[0, 0, 3]
questions from 3: 
[3, 1, 1]
questions from 6: 
[1, 1, 3]
questions from 9: 
[1, 1, 2]
questions from 12: 
[3, 0, 2]
questions from 15: 
[3, 2, 3]
questions from 18: 
[0, 0, 1]
questions from 21: 
[2, 2, 0]
questions from 24: 
[0, 0, 0]
questions from 27: 
[0, 3, 1]
questions from 30: 
[0, 0, 2]
questions from 33: 
[0, 2, 0]
questions from 36: 
[0, 0, 1]
questions from 39: 
[1, 3, 1]
questions from 42: 
[0, 0, 3]
questions from 45: 
[3, 3, 2]
questions from 48: 
[1, 0, 1]
questions from 51: 
[2, 1, 0]
questions from 54: 
[3, 1, 2]
questions from 57: 
[3, 2, 1]
questions from 60: 
[1, 0, 1]
questions from 63: 
[0, 3, 0]
questions from 66: 
[2, 0, 0]
questions from 69: 
[0, 0, 1]
questions from 72: 
[3, 3, 0]
questions from 75: 
[1, 2, 1]
questions from 78: 
[3, 3, 1]
questions from 81: 
[3, 0, 1]
questions from 84: 
[3, 3, 2]
questions from 87: 
[0, 2, 0]
questions from 90: 
[0, 3, 3]
questions from 93: 
[0, 3, 2]
questions from 96: 
[2, 1, 3]
Subject: philosophy
politeness level: 0
questions from 0: 
[1, 2, 2]
questions from 3: 
[3, 2, 2]
questions from 6: 
[1, 2, 3]
questions from 9: 
[3, 0, 3]
questions from 12: 
[3, 2, 0]
questions from 15: 
[2, 2, 2]
questions from 18: 
[0, 3, 0]
questions from 21: 
[0, 3, 3]
questions from 24: 
[1, 3, 0]
questions from 27: 
[3, 2, 2]
questions from 30: 
[0, 2, 0]
questions from 33: 
[3, 0, 3]
questions from 36: 
[1, 1, 3]
questions from 39: 
[3, 3, 3]
questions from 42: 
[1, 0, 1]
questions from 45: 
[0, 3, 3]
questions from 48: 
[0, 2, 1]
questions from 51: 
[3, 1, 0]
questions from 54: 
[3, 2, 0]
questions from 57: 
[2, 2, 2]
questions from 60: 
[2, 2, 2]
questions from 63: 
[3, 2, 2]
questions from 66: 
[3, 1, 2]
questions from 69: 
[1, 1, 2]
questions from 72: 
[2, 1, 0]
questions from 75: 
[3, 0, 3]
questions from 78: 
[3, 2, 1]
questions from 81: 
[3, 1, 0]
questions from 84: 
[2, 1, 3]
questions from 87: 
[3, 3, 3]
questions from 90: 
[1, 0, 2]
questions from 93: 
[1, 0, 0]
questions from 96: 
[1, 0, 0]
politeness level: 1
questions from 0: 
[1, 2, 2]
questions from 3: 
[3, 2, 2]
questions from 6: 
[1, 2, 3]
questions from 9: 
[3, 0, 3]
questions from 12: 
[3, 2, 0]
questions from 15: 
[2, 2, 2]
questions from 18: 
[0, 3, 0]
questions from 21: 
[0, 3, 3]
questions from 24: 
[1, 3, 0]
questions from 27: 
[3, 2, 2]
questions from 30: 
[0, 2, 0]
questions from 33: 
[3, 0, 3]
questions from 36: 
[1, 1, 3]
questions from 39: 
[3, 3, 3]
questions from 42: 
[1, 0, 1]
questions from 45: 
[0, 3, 3]
questions from 48: 
[0, 2, 1]
questions from 51: 
[3, 1, 0]
questions from 54: 
[3, 2, 0]
questions from 57: 
[2, 2, 2]
questions from 60: 
[2, 2, 2]
questions from 63: 
[3, 2, 2]
questions from 66: 
[3, 1, 2]
questions from 69: 
[1, 1, 2]
questions from 72: 
[2, 1, 0]
questions from 75: 
[3, 0, 3]
questions from 78: 
[3, 2, 1]
questions from 81: 
[3, 1, 0]
questions from 84: 
[2, 1, 3]
questions from 87: 
[3, 3, 3]
questions from 90: 
[1, 0, 2]
questions from 93: 
[1, 0, 0]
questions from 96: 
[1, 0, 0]
politeness level: 2
questions from 0: 
[1, 2, 2]
questions from 3: 
[3, 2, 2]
questions from 6: 
[1, 2, 3]
questions from 9: 
[3, 0, 3]
questions from 12: 
[3, 2, 0]
questions from 15: 
[2, 2, 2]
questions from 18: 
[0, 3, 0]
questions from 21: 
[0, 3, 3]
questions from 24: 
[1, 3, 0]
questions from 27: 
[3, 2, 2]
questions from 30: 
[0, 2, 0]
questions from 33: 
[3, 0, 3]
questions from 36: 
[1, 1, 3]
questions from 39: 
[3, 3, 3]
questions from 42: 
[1, 0, 1]
questions from 45: 
[0, 3, 3]
questions from 48: 
[0, 2, 1]
questions from 51: 
[3, 1, 0]
questions from 54: 
[3, 2, 0]
questions from 57: 
[2, 2, 2]
questions from 60: 
[2, 2, 2]
questions from 63: 
[3, 2, 2]
questions from 66: 
[3, 1, 2]
questions from 69: 
[1, 1, 2]
questions from 72: 
[2, 1, 0]
questions from 75: 
[3, 0, 3]
questions from 78: 
[3, 2, 1]
questions from 81: 
[3, 1, 0]
questions from 84: 
[2, 1, 3]
questions from 87: 
[3, 3, 3]
questions from 90: 
[1, 0, 2]
questions from 93: 
[1, 0, 0]
questions from 96: 
[1, 0, 0]
politeness level: 3
questions from 0: 
[1, 2, 2]
questions from 3: 
[3, 2, 2]
questions from 6: 
[1, 2, 3]
questions from 9: 
[3, 0, 3]
questions from 12: 
[3, 2, 0]
questions from 15: 
[2, 2, 2]
questions from 18: 
[0, 3, 0]
questions from 21: 
[0, 3, 3]
questions from 24: 
[1, 3, 0]
questions from 27: 
[3, 2, 2]
questions from 30: 
[0, 2, 0]
questions from 33: 
[3, 0, 3]
questions from 36: 
[1, 1, 3]
questions from 39: 
[3, 3, 3]
questions from 42: 
[1, 0, 1]
questions from 45: 
[0, 3, 3]
questions from 48: 
[0, 2, 1]
questions from 51: 
[3, 1, 0]
questions from 54: 
[3, 2, 0]
questions from 57: 
[2, 2, 2]
questions from 60: 
[2, 2, 2]
questions from 63: 
[3, 2, 2]
questions from 66: 
[3, 1, 2]
questions from 69: 
[1, 1, 2]
questions from 72: 
[2, 1, 0]
questions from 75: 
[3, 0, 3]
questions from 78: 
[3, 2, 1]
questions from 81: 
[3, 1, 0]
questions from 84: 
[2, 1, 3]
questions from 87: 
[3, 3, 3]
questions from 90: 
[1, 0, 2]
questions from 93: 
[1, 0, 0]
questions from 96: 
[1, 0, 0]
politeness level: 4
questions from 0: 
[1, 2, 2]
questions from 3: 
[3, 2, 2]
questions from 6: 
[1, 2, 3]
questions from 9: 
[3, 0, 3]
questions from 12: 
[3, 2, 0]
questions from 15: 
[2, 2, 2]
questions from 18: 
[0, 3, 0]
questions from 21: 
[0, 3, 3]
questions from 24: 
[1, 3, 0]
questions from 27: 
[3, 2, 2]
questions from 30: 
[0, 2, 0]
questions from 33: 
[3, 0, 3]
questions from 36: 
[1, 1, 3]
questions from 39: 
[3, 3, 3]
questions from 42: 
[1, 0, 1]
questions from 45: 
[0, 3, 3]
questions from 48: 
[0, 2, 1]
questions from 51: 
[3, 1, 0]
questions from 54: 
[3, 2, 0]
questions from 57: 
[2, 2, 2]
questions from 60: 
[2, 2, 2]
questions from 63: 
[3, 2, 2]
questions from 66: 
[3, 1, 2]
questions from 69: 
[1, 1, 2]
questions from 72: 
[2, 1, 0]
questions from 75: 
[3, 0, 3]
questions from 78: 
[3, 2, 1]
questions from 81: 
[3, 1, 0]
questions from 84: 
[2, 1, 3]
questions from 87: 
[3, 3, 3]
questions from 90: 
[1, 0, 2]
questions from 93: 
[1, 0, 0]
questions from 96: 
[1, 0, 0]
politeness level: 5
questions from 0: 
[1, 2, 2]
questions from 3: 
[3, 2, 2]
questions from 6: 
[1, 2, 3]
questions from 9: 
[3, 0, 3]
questions from 12: 
[3, 2, 0]
questions from 15: 
[2, 2, 2]
questions from 18: 
[0, 3, 0]
questions from 21: 
[0, 3, 3]
questions from 24: 
[1, 3, 0]
questions from 27: 
[3, 2, 2]
questions from 30: 
[0, 2, 0]
questions from 33: 
[3, 0, 3]
questions from 36: 
[1, 1, 3]
questions from 39: 
[3, 3, 3]
questions from 42: 
[1, 0, 1]
questions from 45: 
[0, 3, 3]
questions from 48: 
[0, 2, 1]
questions from 51: 
[3, 1, 0]
questions from 54: 
[3, 2, 0]
questions from 57: 
[2, 2, 2]
questions from 60: 
[2, 2, 2]
questions from 63: 
[3, 2, 2]
questions from 66: 
[3, 1, 2]
questions from 69: 
[1, 1, 2]
questions from 72: 
[2, 1, 0]
questions from 75: 
[3, 0, 3]
questions from 78: 
[3, 2, 1]
questions from 81: 
[3, 1, 0]
questions from 84: 
[2, 1, 3]
questions from 87: 
[3, 3, 3]
questions from 90: 
[1, 0, 2]
questions from 93: 
[1, 0, 0]
questions from 96: 
[1, 0, 0]
politeness level: 6
questions from 0: 
[1, 2, 2]
questions from 3: 
[3, 2, 2]
questions from 6: 
[1, 2, 3]
questions from 9: 
[3, 0, 3]
questions from 12: 
[3, 2, 0]
questions from 15: 
[2, 2, 2]
questions from 18: 
[0, 3, 0]
questions from 21: 
[0, 3, 3]
questions from 24: 
[1, 3, 0]
questions from 27: 
[3, 2, 2]
questions from 30: 
[0, 2, 0]
questions from 33: 
[3, 0, 3]
questions from 36: 
[1, 1, 3]
questions from 39: 
[3, 3, 3]
questions from 42: 
[1, 0, 1]
questions from 45: 
[0, 3, 3]
questions from 48: 
[0, 2, 1]
questions from 51: 
[3, 1, 0]
questions from 54: 
[3, 2, 0]
questions from 57: 
[2, 2, 2]
questions from 60: 
[2, 2, 2]
questions from 63: 
