Subject: elementary_mathematics
politeness level: 0
questions from 0: 
[3, 3, 3]
questions from 3: 
[1, 0, 3]
questions from 6: 
[2, 0, 1]
questions from 9: 
[1, 1, 1]
questions from 12: 
[1, 2, 0]
questions from 15: 
[2, 2, 0]
questions from 18: 
[0, 3, 2]
questions from 21: 
[3, 3, 1]
questions from 24: 
[2, 2, 1]
questions from 27: 
[3, 2, 0]
questions from 30: 
[0, 1, 2]
questions from 33: 
[2, 3, 0]
questions from 36: 
[3, 1, 3]
questions from 39: 
[2, 3, 3]
questions from 42: 
[1, 2, 1]
questions from 45: 
[0, 2, 0]
questions from 48: 
[3, 1, 3]
questions from 51: 
[2, 0, 2]
questions from 54: 
[1, 3, 3]
questions from 57: 
[2, 3, 1]
questions from 60: 
[1, 3, 2]
questions from 63: 
[3, 1, 0]
questions from 66: 
[3, 1, 3]
questions from 69: 
[1, 0, 1]
questions from 72: 
[0, 3, 3]
questions from 75: 
[3, 3, 3]
questions from 78: 
[2, 0, 1]
questions from 81: 
[2, 0, 3]
questions from 84: 
[3, 3, 2]
questions from 87: 
[1, 1, 2]
questions from 90: 
[1, 3, 0]
questions from 93: 
[0, 2, 1]
questions from 96: 
[0, 2, 0]
politeness level: 1
questions from 0: 
[3, 3, 3]
questions from 3: 
[1, 0, 3]
questions from 6: 
[2, 0, 1]
questions from 9: 
[1, 1, 1]
questions from 12: 
[1, 2, 0]
questions from 15: 
[2, 2, 0]
questions from 18: 
[0, 3, 2]
questions from 21: 
[3, 3, 1]
questions from 24: 
[2, 2, 1]
questions from 27: 
[3, 2, 0]
questions from 30: 
[0, 1, 2]
questions from 33: 
[2, 3, 0]
questions from 36: 
[3, 1, 3]
questions from 39: 
[2, 3, 3]
questions from 42: 
[1, 2, 1]
questions from 45: 
[0, 2, 0]
questions from 48: 
[3, 1, 3]
questions from 51: 
[2, 0, 2]
questions from 54: 
[1, 3, 3]
questions from 57: 
[2, 3, 1]
questions from 60: 
[1, 3, 2]
questions from 63: 
[3, 1, 0]
questions from 66: 
[3, 1, 3]
questions from 69: 
[1, 0, 1]
questions from 72: 
[0, 3, 3]
questions from 75: 
[3, 3, 3]
questions from 78: 
[2, 0, 1]
questions from 81: 
[2, 0, 3]
questions from 84: 
[3, 3, 2]
questions from 87: 
[1, 1, 2]
questions from 90: 
[1, 3, 0]
questions from 93: 
[0, 2, 1]
questions from 96: 
[0, 2, 0]
politeness level: 2
questions from 0: 
[3, 3, 3]
questions from 3: 
[1, 0, 3]
questions from 6: 
[2, 0, 1]
questions from 9: 
[1, 1, 1]
questions from 12: 
[1, 2, 0]
questions from 15: 
[2, 2, 0]
questions from 18: 
[0, 3, 2]
questions from 21: 
[3, 3, 1]
questions from 24: 
[2, 2, 1]
questions from 27: 
[3, 2, 0]
questions from 30: 
[0, 1, 2]
questions from 33: 
[2, 3, 0]
questions from 36: 
[3, 1, 3]
questions from 39: 
[2, 3, 3]
questions from 42: 
[1, 2, 1]
questions from 45: 
[0, 2, 0]
questions from 48: 
[3, 1, 3]
questions from 51: 
[2, 0, 2]
questions from 54: 
[1, 3, 3]
questions from 57: 
[2, 3, 1]
questions from 60: 
[1, 3, 2]
questions from 63: 
[3, 1, 0]
questions from 66: 
[3, 1, 3]
questions from 69: 
[1, 0, 1]
questions from 72: 
[0, 3, 3]
questions from 75: 
[3, 3, 3]
questions from 78: 
[2, 0, 1]
questions from 81: 
[2, 0, 3]
questions from 84: 
[3, 3, 2]
questions from 87: 
[1, 1, 2]
questions from 90: 
[1, 3, 0]
questions from 93: 
[0, 2, 1]
questions from 96: 
[0, 2, 0]
politeness level: 3
questions from 0: 
[3, 3, 3]
questions from 3: 
[1, 0, 3]
questions from 6: 
[2, 0, 1]
questions from 9: 
[1, 1, 1]
questions from 12: 
[1, 2, 0]
questions from 15: 
[2, 2, 0]
questions from 18: 
[0, 3, 2]
questions from 21: 
[3, 3, 1]
questions from 24: 
[2, 2, 1]
questions from 27: 
[3, 2, 0]
questions from 30: 
[0, 1, 2]
questions from 33: 
[2, 3, 0]
questions from 36: 
[3, 1, 3]
questions from 39: 
[2, 3, 3]
questions from 42: 
[1, 2, 1]
questions from 45: 
[0, 2, 0]
questions from 48: 
[3, 1, 3]
questions from 51: 
[2, 0, 2]
questions from 54: 
[1, 3, 3]
questions from 57: 
[2, 3, 1]
questions from 60: 
[1, 3, 2]
questions from 63: 
[3, 1, 0]
questions from 66: 
[3, 1, 3]
questions from 69: 
[1, 0, 1]
questions from 72: 
[0, 3, 3]
questions from 75: 
[3, 3, 3]
questions from 78: 
[2, 0, 1]
questions from 81: 
[2, 0, 3]
questions from 84: 
[3, 3, 2]
questions from 87: 
[1, 1, 2]
questions from 90: 
[1, 3, 0]
questions from 93: 
[0, 2, 1]
questions from 96: 
[0, 2, 0]
politeness level: 4
questions from 0: 
[3, 3, 3]
questions from 3: 
[1, 0, 3]
questions from 6: 
[2, 0, 1]
questions from 9: 
[1, 1, 1]
questions from 12: 
[1, 2, 0]
questions from 15: 
[2, 2, 0]
questions from 18: 
[0, 3, 2]
questions from 21: 
[3, 3, 1]
questions from 24: 
[2, 2, 1]
questions from 27: 
[3, 2, 0]
questions from 30: 
[0, 1, 2]
questions from 33: 
[2, 3, 0]
questions from 36: 
[3, 1, 3]
questions from 39: 
[2, 3, 3]
questions from 42: 
[1, 2, 1]
questions from 45: 
[0, 2, 0]
questions from 48: 
[3, 1, 3]
questions from 51: 
[2, 0, 2]
questions from 54: 
[1, 3, 3]
questions from 57: 
[2, 3, 1]
questions from 60: 
[1, 3, 2]
questions from 63: 
[3, 1, 0]
questions from 66: 
[3, 1, 3]
questions from 69: 
[1, 0, 1]
questions from 72: 
[0, 3, 3]
questions from 75: 
[3, 3, 3]
questions from 78: 
[2, 0, 1]
questions from 81: 
[2, 0, 3]
questions from 84: 
[3, 3, 2]
questions from 87: 
[1, 1, 2]
questions from 90: 
[1, 3, 0]
questions from 93: 
[0, 2, 1]
questions from 96: 
[0, 2, 0]
politeness level: 5
questions from 0: 
[3, 3, 3]
questions from 3: 
[1, 0, 3]
questions from 6: 
[2, 0, 1]
questions from 9: 
[1, 1, 1]
questions from 12: 
[1, 2, 0]
questions from 15: 
[2, 2, 0]
questions from 18: 
[0, 3, 2]
questions from 21: 
[3, 3, 1]
questions from 24: 
[2, 2, 1]
questions from 27: 
[3, 2, 0]
questions from 30: 
[0, 1, 2]
questions from 33: 
[2, 3, 0]
questions from 36: 
[3, 1, 3]
questions from 39: 
[2, 3, 3]
questions from 42: 
[1, 2, 1]
questions from 45: 
[0, 2, 0]
questions from 48: 
[3, 1, 3]
questions from 51: 
[2, 0, 2]
questions from 54: 
[1, 3, 3]
questions from 57: 
[2, 3, 1]
questions from 60: 
[1, 3, 2]
questions from 63: 
[3, 1, 0]
questions from 66: 
[3, 1, 3]
questions from 69: 
[1, 0, 1]
questions from 72: 
[0, 3, 3]
questions from 75: 
[3, 3, 3]
questions from 78: 
[2, 0, 1]
questions from 81: 
[2, 0, 3]
questions from 84: 
[3, 3, 2]
questions from 87: 
[1, 1, 2]
questions from 90: 
[1, 3, 0]
questions from 93: 
[0, 2, 1]
questions from 96: 
[0, 2, 0]
politeness level: 6
questions from 0: 
[3, 3, 3]
questions from 3: 
[1, 0, 3]
questions from 6: 
[2, 0, 1]
questions from 9: 
[1, 1, 1]
questions from 12: 
[1, 2, 0]
questions from 15: 
[2, 2, 0]
questions from 18: 
[0, 3, 2]
questions from 21: 
[3, 3, 1]
questions from 24: 
[2, 2, 1]
questions from 27: 
[3, 2, 0]
questions from 30: 
[0, 1, 2]
questions from 33: 
[2, 3, 0]
questions from 36: 
[3, 1, 3]
questions from 39: 
[2, 3, 3]
questions from 42: 
[1, 2, 1]
questions from 45: 
[0, 2, 0]
questions from 48: 
[3, 1, 3]
questions from 51: 
[2, 0, 2]
questions from 54: 
[1, 3, 3]
questions from 57: 
[2, 3, 1]
questions from 60: 
[1, 3, 2]
questions from 63: 
[3, 1, 0]
questions from 66: 
[3, 1, 3]
questions from 69: 
[1, 0, 1]
questions from 72: 
[0, 3, 3]
questions from 75: 
[3, 3, 3]
questions from 78: 
[2, 0, 1]
questions from 81: 
[2, 0, 3]
questions from 84: 
[3, 3, 2]
questions from 87: 
[1, 1, 2]
questions from 90: 
[1, 3, 0]
questions from 93: 
[0, 2, 1]
questions from 96: 
[0, 2, 0]
politeness level: 7
questions from 0: 
[3, 3, 3]
questions from 3: 
[1, 0, 3]
questions from 6: 
[2, 0, 1]
questions from 9: 
[1, 1, 1]
questions from 12: 
[1, 2, 0]
questions from 15: 
[2, 2, 0]
questions from 18: 
[0, 3, 2]
questions from 21: 
[3, 3, 1]
questions from 24: 
[2, 2, 1]
questions from 27: 
[3, 2, 0]
questions from 30: 
[0, 1, 2]
questions from 33: 
[2, 3, 0]
questions from 36: 
[3, 1, 3]
questions from 39: 
[2, 3, 3]
questions from 42: 
[1, 2, 1]
questions from 45: 
[0, 2, 0]
questions from 48: 
[3, 1, 3]
questions from 51: 
[2, 0, 2]
questions from 54: 
[1, 3, 3]
questions from 57: 
[2, 3, 1]
questions from 60: 
[1, 3, 2]
questions from 63: 
[3, 1, 0]
questions from 66: 
[3, 1, 3]
questions from 69: 
[1, 0, 1]
questions from 72: 
[0, 3, 3]
questions from 75: 
[3, 3, 3]
questions from 78: 
[2, 0, 1]
questions from 81: 
[2, 0, 3]
questions from 84: 
[3, 3, 2]
questions from 87: 
[1, 1, 2]
questions from 90: 
[1, 3, 0]
questions from 93: 
[0, 2, 1]
questions from 96: 
[0, 2, 0]
Subject: conceptual_physics
politeness level: 0
questions from 0: 
[0, 0, 3]
questions from 3: 
[1, 0, 1]
questions from 6: 
[0, 2, 1]
questions from 9: 
[1, 0, 0]
questions from 12: 
[0, 2, 3]
questions from 15: 
[0, 1, 1]
questions from 18: 
[0, 0, 0]
questions from 21: 
[3, 2, 2]
questions from 24: 
[1, 3, 1]
questions from 27: 
[3, 3, 3]
questions from 30: 
[2, 1, 3]
questions from 33: 
[2, 1, 0]
questions from 36: 
[1, 2, 3]
questions from 39: 
[1, 3, 3]
questions from 42: 
[1, 1, 3]
questions from 45: 
[0, 1, 2]
questions from 48: 
[1, 0, 0]
questions from 51: 
[2, 3, 2]
questions from 54: 
[1, 2, 2]
questions from 57: 
[1, 1, 1]
questions from 60: 
[2, 0, 2]
questions from 63: 
[1, 1, 0]
questions from 66: 
[0, 0, 0]
questions from 69: 
[0, 3, 2]
questions from 72: 
[3, 1, 3]
questions from 75: 
[1, 3, 0]
questions from 78: 
[0, 0, 3]
questions from 81: 
[0, 3, 0]
questions from 84: 
[0, 0, 3]
questions from 87: 
[0, 3, 2]
questions from 90: 
[1, 3, 1]
questions from 93: 
[3, 0, 3]
questions from 96: 
[0, 0, 1]
politeness level: 1
questions from 0: 
[0, 0, 3]
questions from 3: 
[1, 0, 1]
questions from 6: 
[0, 2, 1]
questions from 9: 
[1, 0, 0]
questions from 12: 
[0, 2, 3]
questions from 15: 
[0, 1, 1]
questions from 18: 
[0, 0, 0]
questions from 21: 
[3, 2, 2]
questions from 24: 
[1, 3, 1]
questions from 27: 
[3, 3, 3]
questions from 30: 
[2, 1, 3]
questions from 33: 
[2, 1, 0]
questions from 36: 
[1, 2, 3]
questions from 39: 
[1, 3, 3]
questions from 42: 
[1, 1, 3]
questions from 45: 
[0, 1, 2]
questions from 48: 
[1, 0, 0]
questions from 51: 
[2, 3, 2]
questions from 54: 
[1, 2, 2]
questions from 57: 
[1, 1, 1]
questions from 60: 
[2, 0, 2]
questions from 63: 
[1, 1, 0]
questions from 66: 
[0, 0, 0]
questions from 69: 
[0, 3, 2]
questions from 72: 
[3, 1, 3]
questions from 75: 
[1, 3, 0]
questions from 78: 
[0, 0, 3]
questions from 81: 
[0, 3, 0]
questions from 84: 
[0, 0, 3]
questions from 87: 
[0, 3, 2]
questions from 90: 
[1, 3, 1]
questions from 93: 
[3, 0, 3]
questions from 96: 
[0, 0, 1]
politeness level: 2
questions from 0: 
[0, 0, 3]
questions from 3: 
[1, 0, 1]
questions from 6: 
[0, 2, 1]
questions from 9: 
[1, 0, 0]
questions from 12: 
[0, 2, 3]
questions from 15: 
[0, 1, 1]
questions from 18: 
[0, 0, 0]
questions from 21: 
[3, 2, 2]
questions from 24: 
[1, 3, 1]
questions from 27: 
[3, 3, 3]
questions from 30: 
[2, 1, 3]
questions from 33: 
[2, 1, 0]
questions from 36: 
[1, 2, 3]
questions from 39: 
[1, 3, 3]
questions from 42: 
[1, 1, 3]
questions from 45: 
[0, 1, 2]
questions from 48: 
[1, 0, 0]
questions from 51: 
[2, 3, 2]
questions from 54: 
[1, 2, 2]
questions from 57: 
[1, 1, 1]
questions from 60: 
[2, 0, 2]
questions from 63: 
[1, 1, 0]
questions from 66: 
[0, 0, 0]
questions from 69: 
[0, 3, 2]
questions from 72: 
[3, 1, 3]
questions from 75: 
[1, 3, 0]
questions from 78: 
[0, 0, 3]
questions from 81: 
[0, 3, 0]
questions from 84: 
[0, 0, 3]
questions from 87: 
[0, 3, 2]
questions from 90: 
[1, 3, 1]
questions from 93: 
[3, 0, 3]
questions from 96: 
[0, 0, 1]
politeness level: 3
questions from 0: 
[0, 0, 3]
questions from 3: 
[1, 0, 1]
questions from 6: 
[0, 2, 1]
questions from 9: 
[1, 0, 0]
questions from 12: 
[0, 2, 3]
questions from 15: 
[0, 1, 1]
questions from 18: 
[0, 0, 0]
questions from 21: 
[3, 2, 2]
questions from 24: 
[1, 3, 1]
questions from 27: 
[3, 3, 3]
questions from 30: 
[2, 1, 3]
questions from 33: 
[2, 1, 0]
questions from 36: 
[1, 2, 3]
questions from 39: 
[1, 3, 3]
questions from 42: 
[1, 1, 3]
questions from 45: 
[0, 1, 2]
questions from 48: 
[1, 0, 0]
questions from 51: 
[2, 3, 2]
questions from 54: 
[1, 2, 2]
questions from 57: 
[1, 1, 1]
questions from 60: 
[2, 0, 2]
questions from 63: 
[1, 1, 0]
questions from 66: 
[0, 0, 0]
questions from 69: 
[0, 3, 2]
questions from 72: 
[3, 1, 3]
questions from 75: 
[1, 3, 0]
questions from 78: 
[0, 0, 3]
questions from 81: 
[0, 3, 0]
questions from 84: 
[0, 0, 3]
questions from 87: 
[0, 3, 2]
questions from 90: 
[1, 3, 1]
questions from 93: 
[3, 0, 3]
questions from 96: 
[0, 0, 1]
politeness level: 4
questions from 0: 
[0, 0, 3]
questions from 3: 
[1, 0, 1]
questions from 6: 
[0, 2, 1]
questions from 9: 
[1, 0, 0]
questions from 12: 
[0, 2, 3]
questions from 15: 
[0, 1, 1]
questions from 18: 
[0, 0, 0]
questions from 21: 
[3, 2, 2]
questions from 24: 
[1, 3, 1]
questions from 27: 
[3, 3, 3]
questions from 30: 
[2, 1, 3]
questions from 33: 
[2, 1, 0]
questions from 36: 
[1, 2, 3]
questions from 39: 
[1, 3, 3]
questions from 42: 
[1, 1, 3]
questions from 45: 
[0, 1, 2]
questions from 48: 
[1, 0, 0]
questions from 51: 
[2, 3, 2]
questions from 54: 
[1, 2, 2]
questions from 57: 
[1, 1, 1]
questions from 60: 
[2, 0, 2]
questions from 63: 
[1, 1, 0]
questions from 66: 
[0, 0, 0]
questions from 69: 
[0, 3, 2]
questions from 72: 
[3, 1, 3]
questions from 75: 
[1, 3, 0]
questions from 78: 
[0, 0, 3]
questions from 81: 
[0, 3, 0]
questions from 84: 
[0, 0, 3]
questions from 87: 
[0, 3, 2]
questions from 90: 
[1, 3, 1]
questions from 93: 
[3, 0, 3]
questions from 96: 
[0, 0, 1]
politeness level: 5
questions from 0: 
[0, 0, 3]
questions from 3: 
[1, 0, 1]
questions from 6: 
[0, 2, 1]
questions from 9: 
[1, 0, 0]
questions from 12: 
[0, 2, 3]
questions from 15: 
[0, 1, 1]
questions from 18: 
[0, 0, 0]
questions from 21: 
[3, 2, 2]
questions from 24: 
[1, 3, 1]
questions from 27: 
[3, 3, 3]
questions from 30: 
[2, 1, 3]
questions from 33: 
[2, 1, 0]
questions from 36: 
[1, 2, 3]
questions from 39: 
[1, 3, 3]
questions from 42: 
[1, 1, 3]
questions from 45: 
[0, 1, 2]
questions from 48: 
[1, 0, 0]
questions from 51: 
[2, 3, 2]
questions from 54: 
[1, 2, 2]
questions from 57: 
[1, 1, 1]
questions from 60: 
[2, 0, 2]
